dataset_id,dataset_or_field,source_authority,source_or_repo_path,resolution,rankable_coverage,symbol_scope,pit_lifecycle_status,exactness,evidence_support,protected_data_rule,known_gaps,allowed_research_use,recommended_action,last_verified_date
KRAKEN_DATA_011,Historical bid/ask spread,Current ticker and one PF_XBTUSD book sample only,/opt/parquet/kraken_derivatives/parquet/analytics/orderbook_PF_XBTUSD_sample.json,Point snapshot,none historically,"327 ticker rows; one book sample",Not historical PIT,Exact current snapshot only,calibration_only,Protected/current calibration only,No historical spread panel,Conservative frozen cost scenarios only,Use public capture for strategy-agnostic calibration after firewall checks,2026-07-16
KRAKEN_DATA_012,Historical depth and true liquidity,None beyond point samples,none,none,none,0,Missing,Missing,unsupported,No protected outcome selection,"File-size, volume, or coverage proxies are not depth",Lagged bar-liquidity screening only with explicit proxy label,Keep depth-sensitive hypotheses prospective or redesign them,2026-07-16
KRAKEN_DATA_013,Historical slippage,Frozen research scenarios,run-specific manifests,Per modeled outcome,2023-2025 modeled,All evaluated symbols,Predeclared scenario only,Modeled not observed,level_4_capped,Protected capture may calibrate strategy-agnostic surfaces only,No historical execution calibration,Stress testing under disclosed scenarios,Version scenarios and never label them observed,2026-07-16
KRAKEN_DATA_014,Bar volume,Official trade and mark OHLCV,historical trade and mark candle directories,5m,2023-2025,"301 PF perpetuals in acquired roster",PIT for existing bars,Exact venue bar volume for acquired roster,level_4_capped,Pre-2026 rows only,No verified quote-volume or taker-side decomposition,Volume and lagged-liquidity features with lifecycle cap,Do not relabel as notional depth or aggressor flow,2026-07-16
KRAKEN_DATA_015,Fees,Current feeScheduleUid plus frozen cost assumptions,run-specific manifests,Per trade,2023-2025 modeled,All evaluated symbols,No historical account-tier state,"Assumed 5/10 bps policies reported",level_4_capped,No protected performance tuning,No exact historical account fee history,Conservative scenario costing,Version fee rules and distinguish documented schedule from account-specific assumptions,2026-07-16
KRAKEN_DATA_016,Instrument specifications,Official current instruments snapshot,/opt/parquet/kraken_derivatives/parquet/instruments/all_197920b8d0d3602c.parquet,One 2026 snapshot,Opening dates reach backward for current roster,325,Current snapshot only,Exact as captured,screening_metadata,Protected metadata may support engineering but creates survivor-cohort influence,Historical tick lot margin and spec changes unknown,Eligibility support with explicit current-roster cap,Build a versioned PIT rule registry before lifecycle-sensitive claims,2026-07-16
KRAKEN_DATA_017,Listings and opening dates,Current instrument snapshot and lifecycle table,Kraken instrument master and lifecycle intervals,Event date,Historical opening dates for current roster,325,Opening known for survivors; omitted delisted instruments unknown,Exact as captured,level_3_4_capped,Do not use 2026 returns; disclose roster influence,Current-roster survivorship and missing historical statuses,Bar-existence and opening-date eligibility only,Acquire archived official notices and preserve uncertainty,2026-07-16
KRAKEN_DATA_018,Delistings,None acquired,none,none,none,"0 confirmed historical closures",Missing,Missing,unsupported,No current-state backfill as historical fact,All lifecycle interval ends are unknown,No survivorship-free claim,Build archived notice and settlement ledger before lifecycle research,2026-07-16
KRAKEN_DATA_019,Suspensions,Current ticker suspended field only,current ticker snapshot,One snapshot,none historically,327,Not historical PIT,Current exact only,unsupported_historically,Protected/current engineering only,No archived suspension intervals,No historical status strategy,Add point-in-time status capture and archived notices,2026-07-16
KRAKEN_DATA_020,Settlements and expiries,Current dated-futures metadata only,current instruments snapshot,One snapshot,none for 2023-2025 history,24 dated contracts reported,Not historical PIT,Current exact only,unsupported_historically,Protected/current engineering only,Prior contracts and settlement mechanics absent,No historical settlement or synthetic-exit inference,Build versioned official notice registry if a hypothesis requires it,2026-07-16
KRAKEN_DATA_021,July capture ticker state,Public Kraken capture union,normalized/ticker_1m and raw ticker streams,"Approximately 30-second normalized snapshots despite name",Approximately 2026-07-01 through 2026-07-06 with uneven coverage,"Broad roughly 300 PF symbols; changing scope",Protected and nonuniform,Exact received state with reconnect and gap caveats,execution_calibration_only,No alpha discovery or threshold selection,"Name is misleading; funding is ticker state; cadence and gaps vary",Schema spread staleness and strategy-agnostic calibration,Complete gap manifest and field dictionary before use,2026-07-16
KRAKEN_DATA_022,July capture public trades and forced-flow labels,Public Kraken capture union,raw/ws/trade and normalized/trade_1m and forced_flow_trades,Event records,Approximately 2026-07-01 through 2026-07-08 with gaps,"Broad trades; forced-flow extract reported across 172 symbols",Protected and nonuniform,Exact received raw labels but duplicate/completeness risk,execution_calibration_only,No directional selection or historical validation,"trade_1m is not a bar; no UID deduplication; labels are not a complete liquidation tape",Parser taxonomy UID deduplication and feasibility work,Preserve raw spelling and add non-destructive normalized taxonomy,2026-07-16
KRAKEN_DATA_023,July capture order books,Public Kraken capture union,raw/ws/book and normalized/book_top and book_checkpoints,"Event deltas plus changing 1s/5s sampling",Approximately 2026-07-01 through 2026-07-08 with changing heavy scope,Heavy scope changed; 21 symbols in checkpoint report,Protected and nonuniform,Exact received records with sequence regression and gap caveats,execution_calibration_only,No strategy selection from post-entry outcomes,"Reconnects, changing schema/scope, sequence regressions, zero-byte conflict, incomplete hashes",Book reconstruction and strategy-agnostic execution calibration only,Require run/config history gap masks sequence QA and hash-verified union,2026-07-16
