program_id,family,authority_root,decision,evidence_level,status,release_ready,same_sample_action
C02,Positive resolution-aware spot-led continuation,phase_kraken_c02_positive_spot_led_level3_20260717_v1_20260717_161958,level3_no_primary_pass_stop,level_3_train_only_kill_screen,first_wave_terminal,False,"No negative branch, shifted clocks, alternative thresholds/horizons or subset rescue"
C03,PIT cohort breadth and dispersion context,phase_kraken_c03_pit_cohort_breadth_20260717_v1_20260717_173151,C03_PIT_authority_unavailable,data_authority_unavailable,first_wave_terminal,False,No current-survivor or bar-existence substitution
C16,ETF/regulated-access flow transmission,phase_c16_flow_authority_20260717_v1,C16_flow_authority_unavailable,data_authority_unavailable,next_wave_authority_terminal,False,No Kraken join or C16 contract without new versioned official daily authority
KDA01,Crowding and price-progress bifurcation,docs/agent/task_archive/20260719_donch_bt_stage_8c1_kda01_forensic_timing_audit_20260719_v1,KDA01_level3_repaired_no_primary_pass_stop,level_3_repaired_train_only_kill_screen,kraken_derivatives_terminal,False,"No costs, opposite direction, basis change, threshold, timing, year, symbol, or horizon rescue"
KDA02A,Liquidation and OI purge state machine,docs/agent/task_archive/20260719_donch_bt_stage_9_kda02_purge_adjudication_conditional_level3_20260719_v1,KDA02_level3_no_primary_pass_stop,level_3_train_only_kill_screen,kraken_derivatives_unconditional_terminal,False,"No threshold, direction, horizon, year, symbol, robustness, or control rescue"
KDA02_NEG_6H,Negative completed-purge reversal six-hour branch,docs/agent/task_archive/20260719_donch_bt_stage_9_kda02_purge_adjudication_conditional_level3_20260719_v1,KDA02_level3_no_primary_pass_stop,post_hoc_context_hypothesis,conditional_context_candidate_unvalidated,False,"Same sample limited to explanation and separately authorized controls; independent evidence required"
KDA02_ACTIVE,Active purge continuation,docs/agent/task_archive/20260719_donch_bt_stage_9_kda02_purge_adjudication_conditional_level3_20260719_v1,mechanically_unavailable,mechanical_feasibility_only,strict_5m_mechanically_unavailable,False,Do not label economically rejected
KDA02B,OI vacuum without liquidation,docs/agent/task_archive/20260719_donch_bt_stage_9_kda02_purge_adjudication_conditional_level3_20260719_v1,candidate_library_only,outcome_free,inactive_candidate_library,False,No outcomes opened and no inference from KDA02A
KDA02C,Isolated versus systemic purge breadth,docs/agent/task_archive/20260719_donch_bt_stage_9_kda02_purge_adjudication_conditional_level3_20260719_v1,post_hoc_context_hypothesis,no_economic_evidence,post_hoc_hypothesis_presence,False,No same-sample promotion
KDA03,Basis-shock catch-up continuation and rejection,docs/agent/task_archive/20260719_donch_bt_stage_11_kda03_basis_shock_20260719_v2,KDA03_level3_routes_assigned,level_3_train_only_policy_routing,kraken_derivatives_routes_assigned,False,Eleven of twelve primary definitions translation-rejected; negative completed-basis rejection 6h is sample-limited and requires independent evidence; no same-sample rescue
KDA03_NEG_REJECTION_6H,Negative completed-basis rejection six-hour branch,docs/agent/task_archive/20260719_donch_bt_stage_11_kda03_basis_shock_20260719_v2,KDA03_level3_routes_assigned,level_3_train_only_sample_limited,sample_limited_prospective_candidate,False,"Not control-eligible; high_variance, wide_cluster_uncertainty, threshold_sensitive; no same-sample rescue or promotion"
