family_id,attempt_id,alignment_shift_minutes,leadership_lookback_minutes,direction,state,attempt_role,registered_before_generation,event_count,retention_status
C02_spot_led_vs_perp_led_impulse,c02attempt_0831e66ac3613b615eba,-5,30,negative,simultaneous_impulse,robustness_or_sensitivity,True,897,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_f1deb99ba5879e343b35,-5,30,negative,perp_led_continuation,robustness_or_sensitivity,True,1236,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_fa16c9160cae40a1505f,-5,30,negative,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_21f912bd9921f55fbc36,-5,30,negative,ambiguous_diagnostic,robustness_or_sensitivity,True,10,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_3353e373179c20e2c01b,0,15,positive,spot_led_continuation,primary,True,2284,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_e6dc601e0c3e1b0cea63,0,15,positive,simultaneous_impulse,primary,True,12779,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_a4e0d62d9ee8721880ef,0,15,positive,perp_led_continuation,primary,True,1370,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_ba86933dd91871e96076,0,15,positive,perp_led_completed_failure,primary,True,560,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_4f456c6dfdb5783412ca,0,15,positive,ambiguous_diagnostic,primary,True,258,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_21efab2a4ee01695b3cd,0,15,negative,spot_led_continuation,primary,True,2215,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_4c8d55c5aefe29c21bb2,0,15,negative,simultaneous_impulse,primary,True,12026,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_3bda6ec9a8aef78fb363,0,15,negative,perp_led_continuation,primary,True,1445,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_5b89ea1569ed19c6572d,0,15,negative,perp_led_completed_failure,primary,True,652,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_eb990bc1f7f4c093fd67,0,15,negative,ambiguous_diagnostic,primary,True,309,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_47a19b045fd47ef9e7f1,0,30,positive,spot_led_continuation,robustness_or_sensitivity,True,2776,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_4ca1b2aaa267850b0005,0,30,positive,simultaneous_impulse,robustness_or_sensitivity,True,12231,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_aac99fad99818981c9eb,0,30,positive,perp_led_continuation,robustness_or_sensitivity,True,1673,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_43fe6fc0e0711d7b6df8,0,30,positive,perp_led_completed_failure,robustness_or_sensitivity,True,560,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_7962247ca5adc60baca0,0,30,positive,ambiguous_diagnostic,robustness_or_sensitivity,True,11,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_09ca225ffe7838780c60,0,30,negative,spot_led_continuation,robustness_or_sensitivity,True,2719,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_22e9cb5ce36c218edb72,0,30,negative,simultaneous_impulse,robustness_or_sensitivity,True,11468,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_19dbf5599a0cb43d1d9b,0,30,negative,perp_led_continuation,robustness_or_sensitivity,True,1794,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_71898cfcb8205ddfda66,0,30,negative,perp_led_completed_failure,robustness_or_sensitivity,True,652,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_b428f48bbeac693ec5ae,0,30,negative,ambiguous_diagnostic,robustness_or_sensitivity,True,14,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_d8389db1cc2f5bdfb6a6,5,15,positive,spot_led_continuation,robustness_or_sensitivity,True,937,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_864fa38be8810e869a43,5,15,positive,simultaneous_impulse,robustness_or_sensitivity,True,1716,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_81886ad3aebc27445fc6,5,15,positive,perp_led_continuation,robustness_or_sensitivity,True,12072,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_52f98a3dbc6c8b6bcffa,5,15,positive,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_178a4ffbd45b8389762a,5,15,positive,ambiguous_diagnostic,robustness_or_sensitivity,True,242,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_3a2095ddfdb4f6e7b895,5,15,negative,spot_led_continuation,robustness_or_sensitivity,True,967,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_69057b6bee9d396fb1a8,5,15,negative,simultaneous_impulse,robustness_or_sensitivity,True,1630,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_58c8b83474e69568dd22,5,15,negative,perp_led_continuation,robustness_or_sensitivity,True,11406,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_6b37acf1617721f64201,5,15,negative,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_753a77bf8d32fa8b1abe,5,15,negative,ambiguous_diagnostic,robustness_or_sensitivity,True,307,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_bb69f2eb3776478892e7,5,30,positive,spot_led_continuation,robustness_or_sensitivity,True,1661,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_d7719c6b1c2e0eac810a,5,30,positive,simultaneous_impulse,robustness_or_sensitivity,True,1556,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_9700e77bead756451558,5,30,positive,perp_led_continuation,robustness_or_sensitivity,True,11741,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_47f3bc47019277bbe86b,5,30,positive,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_79d4b3f79dd3051132da,5,30,positive,ambiguous_diagnostic,robustness_or_sensitivity,True,9,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_c620662fe5b5804ca640,5,30,negative,spot_led_continuation,robustness_or_sensitivity,True,1698,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_edbdd30a4285ac907733,5,30,negative,simultaneous_impulse,robustness_or_sensitivity,True,1492,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_63207fc4be2e1250688d,5,30,negative,perp_led_continuation,robustness_or_sensitivity,True,11110,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_8f4d7b76b7ba4b09e1e9,5,30,negative,perp_led_completed_failure,robustness_or_sensitivity,True,0,retained
C02_spot_led_vs_perp_led_impulse,c02attempt_049e3617eab1a2052abc,5,30,negative,ambiguous_diagnostic,robustness_or_sensitivity,True,10,retained
