hypothesis_id,family,mechanism,direction,venue,historical_period,data_tier,current_status,evidence_level,tested_translation,authoritative_root,superseded_roots,event_count_if_known,mechanism_conclusion,preserved_component,same_sample_actions_forbidden,historically_testable_now,capture_required,protected_data_restriction,priority,next_action,source_provenance
H11,Funding / Basis / Crowding,"enter when price breaks out but funding is still near neutral, avoiding already-crowded moves.",both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,"funding as positioning signal, but not sufficient alone. 27 | funding often lags, and interpretation without OI/context is error-prone. 28",Breakout before funding confirmation,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: medium-high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",4,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 12; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H12,Liquid continuation / Momentum,trade expansion out of realized-volile lows.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,intraday seasonal volatility and microstructure periodicity. 29 | low vol can simply mean low interest and poor depth in alts. 30,Compression to expansion breakout,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 13; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H13,Liquid continuation / Momentum,trade a directional break only after a statistically flat range and exceptionally low realized vol.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,intraday periodicity and microstructure predictability work. 31 | execution risk rises if range is created by liquidity withdrawal. 32,Range escape after realized-vol floor,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","partial_bar_screen_possible; PIT universe, lifecycle, costs, and signal-state gates still apply; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 14; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H14,Funding / Basis / Crowding,"continuation when price breaks out and OI rises, indicating new positioning rather than just short covering or thin liquidity.",both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; feature_overlay_candidate; source status=OI-backed breakout feasible where Kraken analytics/OI coverage supports; no full raw OI needed if analytics works,generator/support prior; level_3_event_level_trade_ledger / level_4_controls if ranked,OI-backed breakout feasible where Kraken analytics/OI coverage supports; no full raw OI needed if analytics works,not_authoritative; use current family registry and machine run records,,,OI as contextual positioning measure. 34 | OI can be misread; it says nothing by itself about side quality. 28,"Breakout with rising OI, but only in liquid names","Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: historical OI/positioning not acquired; exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: medium.",yes on Kraken.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",4,Add as filter in K1/K2 after Kraken analytics QC,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 15; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H15,Funding / Basis / Crowding,short or reduce after a statistically abnormal vertical extension from moving averages or ATR.,short.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,"crypto reversal and momentum-crash risks. 35 | strong trend regimes can stay overbought far longer than a small account can survive. 36 Funding, open-interest and liquidation hypotheses",Parabolic extension fade after momentum blow-off,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: medium.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 16; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H16,Funding / Basis / Crowding,moderate positive funding with rising OI can confirm sustained bullish demand before extremes.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,"funding/OI as joined context, not standalone. 38 | interpretation fails when side concentration becomes fragile. 39",Positive funding plus rising OI continuation,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: historical OI/positioning not acquired; exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: medium.",yes on Kraken for OI history.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 17; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H17,Funding / Basis / Crowding,short crowded longs when funding reaches extreme annualized carry and price stalls.,short.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,funding as crowding cost. 40 | high funding can persist in strong trends. 41,Extreme positive funding fade,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 18; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H18,Funding / Basis / Crowding,buy after extreme negative funding when downside momentum stops extending.,long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,funding data and post-crash negative-funding observations. 42 | short-side crowding is not enough if liquidity is disappearing. 43,Extreme negative funding squeeze long,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: high.",optional.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 19; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H19,Funding / Basis / Crowding,mean reversion in the hours before settlement as traders reduce or re-shape positions around funding.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,"funding-cycle natural experiment; official settlement timings. 44 | settlement-driven spreads can widen, hurting fills. 45",Funding-window pin and pre-settlement mean reversion,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: high in EEA and US, with parameter changes by interval.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 20; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H20,Funding / Basis / Crowding,"continuation if price premium remains after settlement, suggesting spot demand is stronger than funding friction.",both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,perpetual pricing and funding mechanics. 47 | mark and funding formulas differ across venues. 48,Post-funding continuation when premium survives,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: medium-high.",no.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",4,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 21; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H21,Liquidation / OI / Derivatives state,"buy after a rapid drop in OI and sharp price flush, once price reclaims a key level.",long.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; needs_capture_substitute; source status=D4/deleveraging preserved but execution/capture-sensitive,generator/support prior; level_7_execution_depth_or_live_capture_evidence,D4/deleveraging preserved but execution/capture-sensitive,not_authoritative; use current family registry and machine run records,,,liquidation events and OI collapses. 49 | post-crash liquidity can stay hollow. 50,Deleveraging reclaim long,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.",not_ready_or_partial: historical OI/positioning not acquired; source claim: medium.,yes on Kraken.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",5,Use delayed reclaim screens on Kraken majors; capture substitute for validation,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 22; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H22,Funding / Basis / Crowding,"after the first liquidation wave, short a weak rebound if OI remains unstable and price cannot reclaim broken support.",short.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 1.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,persistence of hollow liquidity after crashes. 51 | deleveraging can create violent mean-reversion first. 52,OI-puke continuation short,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.","not_ready_or_partial: historical OI/positioning not acquired; exact funding covers only 2025-06-26 onward, not the full rankable window; source claim: medium.",yes on Kraken.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 23; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
H23,Liquid continuation / Momentum,trade the snapback after a violent last-price wick that does not fully transmit to mark/index.,both.,Kraken-only for active translation; the source prior may contain legacy cross-venue or Bybit framing,active rankable period 2023-01-01 through 2025-12-31; source prior may span other dates,Tier 2.,legacy_library_prior; candidate_library_only; source status=Not yet directly tested under clean contracts; candidate-library hypothesis,generator/support prior; level_1_generator_support to level_3_event_ledger,Not yet directly tested under clean contracts; candidate-library hypothesis,not_authoritative; use current family registry and machine run records,,,official mark-price/liquidation design. 53 | mark formulas differ by venue and can change. 54,Mark-price dislocation reclaim,"Do not reopen a closed translation through renaming, nearby thresholds, broader bar-pattern search, or resampling of the same frozen tape without a pre-approved materially new mechanism.",not_ready_or_partial: historical index/spot not acquired; source claim: medium.,yes.,"2026-01-01 onward is protected; July 2026 capture is execution-calibration only and may not select thresholds, rank families, or support historical performance claims",3,Classify through Kraken K1/data-tier readiness,QLMG_Hypothesis_Library_2026-07-01(1).xlsx safe Hypothesis Library row 24; /mnt/data/RES2 Crypto Perpetual Futures Alpha Hypothesis Catalogue.pdf
